"","id","year","disaster_type","iso","country_name","occurrence","total_deaths","affected","injured","homeless","total_affected","total_damage"
"1",1127,1964,"Storm","KOR","Korea (the Republic of)",1,210,43530,300,43000,43000,1000
"2",1146,1965,"Earthquake","DZA","Algeria",1,2,37000,350,12000,12000,2000
"3",1231,1966,"Flood","DZA","Algeria",1,57,20000,12,15900,15900,10000
"4",1236,1966,"Flood","HKG","Hong Kong",1,65,8561,68,2672,2672,8000
"5",1241,1966,"Flood","JOR","Jordan",1,259,3200,92,2500,2500,1400
"6",1249,1966,"Flood","THA","Thailand",1,6,2e+05,200,5000,5000,1000
"7",1255,1966,"Miscellaneous accident","COL","Colombia",1,1,20000,11,3000,3000,8000
"8",1269,1966,"Storm","CUB","Cuba",1,5,156000,30,18000,18000,18000
"9",1270,1966,"Storm","DOM","Dominican Republic (the)",1,74,7000,442,5500,5500,5000
"10",1276,1966,"Storm","MEX","Mexico",1,14,80000,69,10000,10000,24000
"11",1302,1967,"Earthquake","YUG","Yugoslavia",1,7,16400,70,5400,5400,20000
"12",1321,1967,"Flood","PER","Peru",1,25,40000,300,10000,10000,15000
"13",1370,1968,"Earthquake","GRC","Greece",1,19,4000,18,3600,3600,600
"14",1389,1968,"Flood","BOL","Bolivia (Plurinational State of)",1,24,20000,200,6000,6000,3000
"15",1411,1968,"Miscellaneous accident","GTM","Guatemala",1,2,150,10,130,130,20
"16",1501,1969,"Storm","MDG","Madagascar",1,81,40000,40,3000,3000,5000
"17",1517,1970,"Earthquake","ECU","Ecuador",1,29,60000,120,27992,27992,4000
"18",1548,1970,"Flood","PER","Peru",1,3,131000,50,5000,5000,5200
"19",1636,1971,"Storm","NIC","Nicaragua",1,35,2800,50,1800,1800,380
"20",1729,1973,"Earthquake","CRI","Costa Rica",1,21,3563,98,84,84,200
"21",1846,1974,"Storm","PHL","Philippines (the)",7,203,97095,117,6441,6441,55300
"22",1910,1975,"Storm","PHL","Philippines (the)",1,39,4518,8,698,698,2161
"23",2039,1977,"Earthquake","TON","Tonga",1,1,5000,5,500,500,1200
"24",2122,1977,"Storm","PHL","Philippines (the)",5,104,142422,118,15679,15679,4425
"25",2193,1978,"Flood","NPL","Nepal",1,130,27000,48,700,700,513
"26",2361,1980,"Storm","FJI","Fiji",1,18,28000,250,7000,7000,2256
"27",2549,1982,"Earthquake","IDN","Indonesia",2,13,21400,417,2000,2000,4950
"28",2629,1982,"Miscellaneous accident","PHL","Philippines (the)",2,3,150,7,9000,9000,4250
"29",2653,1982,"Storm","TON","Tonga",2,7,1e+05,14,46500,46500,22300
"30",2712,1983,"Earthquake","IRN","Iran (Islamic Republic of)",2,33,7005,102,375,375,5000
"31",2795,1983,"Miscellaneous accident","PHL","Philippines (the)",5,22,550,248,2500,2500,1300
"32",2817,1983,"Storm","PHL","Philippines (the)",4,128,140642,28,29860,29860,4320
"33",3199,1986,"Earthquake","PER","Peru",2,16,8000,80,100,100,22000
"34",3204,1986,"Earthquake","VEN","Venezuela (Bolivarian Republic of)",2,3,150,50,800,800,1000
"35",3377,1987,"Earthquake","IDN","Indonesia",2,127,31000,101,1000,1000,5000
"36",3423,1987,"Flood","IDN","Indonesia",5,201,28000,84,800,800,65700
"37",3483,1987,"Landslide","VEN","Venezuela (Bolivarian Republic of)",1,96,15000,300,1700,1700,800
"38",3740,1988,"Miscellaneous accident","PRT","Portugal",1,2,2000,45,200,200,250000
"39",3930,1989,"Miscellaneous accident","PHL","Philippines (the)",3,1,454,1,750,750,495
"40",3948,1989,"Storm","HKG","Hong Kong",2,9,528,150,977,977,67
